Invoice ID,Customer ID,Customer Name,Invoice Type,Status,Invoice Date,Due Date,Available Discount,Amount,Balance Due,Email,Copy Email,Currency,PO Number,Payment Terms,Comments,Discount,Freight,Miscellaneous Cost,Subtotal,Tax Amount,Billing Address Name,Billing Address1,Billing Address2,Billing City,Billing State,Billing Zip,Billing Country,Shipping Address Name,Shipping Address1,Shipping Address2,Shipping City,Shipping State,Shipping Zip,Shipping Country
STDINV2226,BAKERSEM0001,Baker's Emporium Inc.,STDINV,Outstanding,05/08/2025,05/12/2027,,"$5,670.80","$5,670.80",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$5,299.80",$371.00,Arthur Holmes,789 University Ave,,Fort Wayne,IN,46802-3918,USA,Arthur Holmes,891 University Ave,,Fort Wayne,IN,46802-3918,USA
STDINV2225,ADAMPARK0001,Adam Park Resort,STDINV,Paid,05/08/2025,05/12/2027,,$96.25,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$89.95,$6.30,Roberta Masouras,P.O. Box 1391,,Indianapolis,IN,46206-1391,USA,Roberta Masouras,Suite 63,14 Chestnut Drive,Indianapolis,IN,46206-1391,USA
STDINV2241,LAWRENCE0001,Lawrence Telemarketing,STDINV,Outstanding,04/12/2027,05/12/2027,,$513.50,$513.50,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$479.90,$33.60,Accounting Dept.,1345 21st Ave S,,Lawrence,KS,66208,USA,Rod Williams,1345 21st Ave S,,Lawrence,KS,66208,USA
STDINV2237,OFFICEDE0001,Office Design Systems Ltd,STDINV,Outstanding,04/12/2027,05/12/2027,,"$74,910.65","$59,910.65",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$70,009.95","$4,900.70",Bernard Bakke,Place 123 Suite 3,123 Main Ave.,Winnipeg,MB,R3M 2G6,Canada,Vincent Thorne,945 57 St,,Lethbridge,AB,R3M 2G6,Canada
STDINV2254,BAKERSEM0001,Baker's Emporium Inc.,STDINV,Outstanding,04/12/2027,05/12/2027,,"$3,766.30","$3,766.30",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$3,519.90",$246.40,Arthur Holmes,789 University Ave,,Fort Wayne,IN,46802-3918,USA,Arthur Holmes,891 University Ave,,Fort Wayne,IN,46802-3918,USA
STDINV2253,AMERICAN0001,American Science Museum,STDINV,Paid,04/12/2027,05/12/2027,,$962.47,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$899.50,$62.97,Andrew MacWilliams,789 North Carlton Place,,St. Louis,MO,63115,USA,Andrew MacWilliams,701 North Carlton Place,,St. Louis,MO,63115,USA
STDINV2229,ADAMPARK0001,Adam Park Resort,STDINV,Outstanding,09/11/2026,05/12/2027,,"$2,567.95","$2,567.95",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$2,399.95",$168.00,Roberta Masouras,P.O. Box 1391,,Indianapolis,IN,46206-1391,USA,Roberta Masouras,Suite 63,14 Chestnut Drive,Indianapolis,IN,46206-1391,USA
STDINV2245,METROPOL0001,Metropolitan Fiber Systems,STDINV,Outstanding,05/30/2025,05/12/2027,,"$7,051.25","$6,551.25",,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$6,589.95",$461.30,Sales Dept.,5678 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA,Sales Dept.,5713 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA
STDINV2228,AARONFIT0001,Aaron Fitz Electrical,STDINV,Outstanding,09/11/2026,05/12/2027,,$128.30,$128.30,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$119.90,$8.40,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2227,AARONFIT0001,Aaron Fitz Electrical,STDINV,Outstanding,05/08/2025,05/12/2027,,$171.10,$171.10,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$159.90,$11.20,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2182,METROPOL0001,Metropolitan Fiber Systems,STDINV,Paid,04/11/2027,05/11/2027,,"$2,054.30",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$1,919.90",$134.40,Sales Dept.,5678 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA,Sales Dept.,5713 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA
STDINV2223,BREAKTHR0001,Breakthrough Telemarketing,STDINV,Paid,03/31/2027,04/30/2027,,"$1,305.30",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$1,219.90",$85.40,Marie Perry,15 Arbutus St,,Montreal,PQ,H3R 3T2,Canada,Nancy Dutchak,3030 Arbutus St.,,Montreal,PQ,H3R 3T2,Canada
STDINV2224,HOLLINGC0001,Holling Communications Inc.,STDINV,Paid,03/31/2027,04/30/2027,,$117.65,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$109.95,$7.70,Ed Holling,123 Sugar Grove,,Columbia,MO,65201-3846,USA,Ed Holling,114 Sugar Grove,,Columbia,MO,65201-3846,USA
STDINV2222,AARONFIT0001,Aaron Fitz Electrical,STDINV,Paid,03/30/2027,04/29/2027,,$609.75,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$569.85,$39.90,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2221,PLAZAONE0001,Plaza One,STDINV,Paid,03/29/2027,04/28/2027,,$384.89,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$359.70,$25.19,Mike Unjhem,2345 42 St. W,,Woodbury,MN,55119,USA,Mike Unjhem,2439 42 St. W,,Woodbury,MN,55119,USA
STDINV2220,AARONFIT0001,Aaron Fitz Electrical,STDINV,Paid,03/28/2027,04/27/2027,,$42.59,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$39.80,$2.79,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2219,AARONFIT0001,Aaron Fitz Electrical,STDINV,Paid,03/27/2027,04/26/2027,,$203.25,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$189.95,$13.30,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2218,VANCOUVE0001,Vancouver Resort Hotels,STDINV,Paid,03/26/2027,04/25/2027,,$448.76,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$419.40,$29.36,Janice Walton,Box 1455,,Vancouver,BC,V6E 3J7,Canada,Wilson Jones,419 12 Ave. North,,Vancouver,BC,V6E 3J7,Canada
STDINV2217,PLAZAONE0001,Plaza One,STDINV,Paid,03/25/2027,04/24/2027,,"$1,433.75",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$1,339.95",$93.80,Mike Unjhem,2345 42 St. W,,Woodbury,MN,55119,USA,Mike Unjhem,2439 42 St. W,,Woodbury,MN,55119,USA
STDINV2216,ASTORSUI0001,Astor Suites,STDINV,Paid,03/24/2027,04/23/2027,,$513.18,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$479.60,$33.58,Business Office,987 West Alaska Ave,,Gary,IN,46401-3455,USA,Pat Turner,436 Mitchell St. N.,,Gary,IN,46401-3455,USA
STDINV2215,BLUEYOND0001,Blue Yonder Airlines,STDINV,Paid,03/23/2027,04/22/2027,,$59.95,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$59.95,$0.00,,P.O. Box 5415,,Wichita,KS,67201,USA,Lt. James Whitson,P.O. Box 1523,,Wichita,KS,67201,USA
STDINV2214,LAWRENCE0001,Lawrence Telemarketing,STDINV,Paid,03/22/2027,04/21/2027,,"$5,135.90",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$4,799.90",$336.00,Accounting Dept.,1345 21st Ave S,,Lawrence,KS,66208,USA,Rod Williams,1345 21st Ave S,,Lawrence,KS,66208,USA
STDINV2213,MAHLERST0001,Mahler State University,STDINV,Paid,03/21/2027,04/20/2027,,"$28,799.40",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$28,799.40",$0.00,Sharon Delbourne,4321 McDaniels Rd,,Minneapolis,MN,55404-4000,USA,Sharon Delbourne,4000 McDaniels Rd,,Minneapolis,MN,55404-4000,USA
STDINV2212,HOLLINGC0001,Holling Communications Inc.,STDINV,Paid,03/20/2027,04/19/2027,,$855.47,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$799.50,$55.97,Ed Holling,123 Sugar Grove,,Columbia,MO,65201-3846,USA,Ed Holling,114 Sugar Grove,,Columbia,MO,65201-3846,USA
STDINV2211,BREAKTHR0001,Breakthrough Telemarketing,STDINV,Paid,03/19/2027,04/18/2027,,"$23,111.52",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$21,599.55","$1,511.97",Marie Perry,15 Arbutus St,,Montreal,PQ,H3R 3T2,Canada,Nancy Dutchak,3030 Arbutus St.,,Montreal,PQ,H3R 3T2,Canada
STDINV2210,HOLLINGC0001,Holling Communications Inc.,STDINV,Paid,03/18/2027,04/17/2027,,$256.65,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$239.85,$16.80,Ed Holling,123 Sugar Grove,,Columbia,MO,65201-3846,USA,Ed Holling,114 Sugar Grove,,Columbia,MO,65201-3846,USA
STDINV2208,ASTORSUI0001,Astor Suites,STDINV,Paid,03/18/2027,04/17/2027,,$42.70,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$39.90,$2.80,Business Office,987 West Alaska Ave,,Gary,IN,46401-3455,USA,Pat Turner,436 Mitchell St. N.,,Gary,IN,46401-3455,USA
STDINV2209,PLAZAONE0001,Plaza One,STDINV,Paid,03/18/2027,04/17/2027,,"$8,602.49",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$8,039.70",$562.79,Mike Unjhem,2345 42 St. W,,Woodbury,MN,55119,USA,Mike Unjhem,2439 42 St. W,,Woodbury,MN,55119,USA
STDINV2207,METROPOL0001,Metropolitan Fiber Systems,STDINV,Paid,03/17/2027,04/16/2027,,$170.99,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$159.80,$11.19,Sales Dept.,5678 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA,Sales Dept.,5713 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA
STDINV2205,CENTRALC0001,Central Communications LTD,STDINV,Paid,03/16/2027,04/15/2027,,$256.70,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$239.90,$16.80,Phil Watson,1012 Aukland St. West,Dept. A,Chicago,IL,60601-2333,USA,Mary Weist,1012 Aukland St. West,,Chicago,IL,60601-2333,USA
STDINV2204,PLAZAONE0001,Plaza One,STDINV,Paid,03/15/2027,04/14/2027,,$42.59,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$39.80,$2.79,Mike Unjhem,2345 42 St. W,,Woodbury,MN,55119,USA,Mike Unjhem,2439 42 St. W,,Woodbury,MN,55119,USA
STDINV2203,AARONFIT0001,Aaron Fitz Electrical,STDINV,Paid,03/14/2027,04/13/2027,,$383.29,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$358.20,$25.09,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2202,AARONFIT0001,Aaron Fitz Electrical,STDINV,Paid,03/14/2027,04/13/2027,,$127.77,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$119.40,$8.37,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2247,COMMUNIC0001,Communication Connections,STDINV,Outstanding,05/30/2025,04/12/2027,,$42.59,$42.59,,,Z-US$,,,,$0.00,$0.00,$0.00,$39.80,$2.79,Accounting,"Place 23, Suite 6",266 Main Ave.,Winnipeg,MB,R3M 2G6,Canada,Bernard Bakke,"Place 16, Suite 3",266 Main Ave,Winnipeg,MB,R3M 2G6,Canada
STDINV2206,MAGNIFIC0001,Magnificent Office Images,STDINV,Paid,03/17/2027,04/12/2027,,"$1,176.47",$0.00,,,Z-US$,,,,$0.00,$0.00,$0.00,"$1,099.50",$76.97,Elizabeth Swift,Box 3748,,Winnipeg,MB,R2S 3T4,Canada,Elizabeth Swift,1900 45 Ave.,,Winnipeg,MB,R2S 3T4,Canada
STDINV2201,VANCOUVE0001,Vancouver Resort Hotels,STDINV,Paid,03/13/2027,04/12/2027,,$352.94,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$329.85,$23.09,Janice Walton,Box 1455,,Vancouver,BC,V6E 3J7,Canada,Wilson Jones,419 12 Ave. North,,Vancouver,BC,V6E 3J7,Canada
STDINV2193,MAGNIFIC0001,Magnificent Office Images,STDINV,Paid,03/07/2027,04/12/2027,,"$2,867.50",$0.00,,,Z-US$,,,,$0.00,$0.00,$0.00,"$2,679.90",$187.60,Elizabeth Swift,Box 3748,,Winnipeg,MB,R2S 3T4,Canada,Elizabeth Swift,1900 45 Ave.,,Winnipeg,MB,R2S 3T4,Canada
STDINV2169,MAGNIFIC0001,Magnificent Office Images,STDINV,Paid,02/21/2026,04/11/2027,,$256.59,$0.00,,,Z-US$,,,,$0.00,$0.00,$0.00,$239.80,$16.79,Elizabeth Swift,Box 3748,,Winnipeg,MB,R2S 3T4,Canada,Elizabeth Swift,1900 45 Ave.,,Winnipeg,MB,R2S 3T4,Canada
STDINV2181,MAGNIFIC0001,Magnificent Office Images,STDINV,Paid,02/28/2026,04/11/2027,,$812.99,$0.00,,,Z-US$,,,,$0.00,$0.00,$0.00,$759.80,$53.19,Elizabeth Swift,Box 3748,,Winnipeg,MB,R2S 3T4,Canada,Elizabeth Swift,1900 45 Ave.,,Winnipeg,MB,R2S 3T4,Canada
STDINV2200,PLAZAONE0001,Plaza One,STDINV,Paid,03/12/2027,04/11/2027,,"$59,277.79",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$55,399.80","$3,877.99",Mike Unjhem,2345 42 St. W,,Woodbury,MN,55119,USA,Mike Unjhem,2439 42 St. W,,Woodbury,MN,55119,USA
STDINV2199,ASTORSUI0001,Astor Suites,STDINV,Paid,03/11/2027,04/10/2027,,$128.35,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$119.95,$8.40,Business Office,987 West Alaska Ave,,Gary,IN,46401-3455,USA,Pat Turner,436 Mitchell St. N.,,Gary,IN,46401-3455,USA
STDINV2197,LAWRENCE0001,Lawrence Telemarketing,STDINV,Paid,03/11/2027,04/10/2027,,$609.75,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$569.85,$39.90,Accounting Dept.,1345 21st Ave S,,Lawrence,KS,66208,USA,Rod Williams,1345 21st Ave S,,Lawrence,KS,66208,USA
STDINV2198,BLUEYOND0001,Blue Yonder Airlines,STDINV,Paid,03/11/2027,04/10/2027,,"$1,919.90",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$1,919.90",$0.00,,P.O. Box 5415,,Wichita,KS,67201,USA,Lt. James Whitson,P.O. Box 1523,,Wichita,KS,67201,USA
STDINV2196,MAHLERST0001,Mahler State University,STDINV,Paid,03/10/2027,04/09/2027,,$759.80,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$759.80,$0.00,Sharon Delbourne,4321 McDaniels Rd,,Minneapolis,MN,55404-4000,USA,Sharon Delbourne,4000 McDaniels Rd,,Minneapolis,MN,55404-4000,USA
STDINV2195,ASTORSUI0001,Astor Suites,STDINV,Paid,03/09/2027,04/08/2027,,"$44,458.35",$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,"$41,549.85","$2,908.50",Business Office,987 West Alaska Ave,,Gary,IN,46401-3455,USA,Pat Turner,436 Mitchell St. N.,,Gary,IN,46401-3455,USA
STDINV2194,METROPOL0001,Metropolitan Fiber Systems,STDINV,Paid,03/08/2027,04/07/2027,,$609.75,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$569.85,$39.90,Sales Dept.,5678 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA,Sales Dept.,5713 W. Jackson Ave,,Milwaukee,WI,53202-5713,USA
STDINV2192,CENTRALC0001,Central Communications LTD,STDINV,Paid,03/06/2027,04/05/2027,,$21.35,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$19.95,$1.40,Phil Watson,1012 Aukland St. West,Dept. A,Chicago,IL,60601-2333,USA,Mary Weist,1012 Aukland St. West,,Chicago,IL,60601-2333,USA
STDINV2191,PLAZAONE0001,Plaza One,STDINV,Paid,03/05/2027,04/04/2027,,$170.99,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$159.80,$11.19,Mike Unjhem,2345 42 St. W,,Woodbury,MN,55119,USA,Mike Unjhem,2439 42 St. W,,Woodbury,MN,55119,USA
STDINV2189,AARONFIT0001,Aaron Fitz Electrical,STDINV,Paid,03/04/2027,04/03/2027,,$256.70,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$239.90,$16.80,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2190,AARONFIT0001,Aaron Fitz Electrical,STDINV,Paid,03/04/2027,04/03/2027,,$235.30,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$219.90,$15.40,Bob Fitz,One Microsoft Way,,Redmond,WA,98052-6399,USA,Bob Fitz,11403 45 St. South,,Chicago,IL,98052-6399,USA
STDINV2188,VANCOUVE0001,Vancouver Resort Hotels,STDINV,Paid,03/04/2027,04/03/2027,,$21.30,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$19.90,$1.40,Janice Walton,Box 1455,,Vancouver,BC,V6E 3J7,Canada,Wilson Jones,419 12 Ave. North,,Vancouver,BC,V6E 3J7,Canada
STDINV2187,PLAZAONE0001,Plaza One,STDINV,Paid,03/04/2027,04/03/2027,,$31.95,$0.00,,,Z-US$,,Net 30,,$0.00,$0.00,$0.00,$29.85,$2.10,Mike Unjhem,2345 42 St. W,,Woodbury,MN,55119,USA,Mike Unjhem,2439 42 St. W,,Woodbury,MN,55119,USA
